
TD Q-learning:

0 0	0 1	0 2	0 3	0 4	0 5	1 0	1 1	1 2	1 3	1 4	1 5	2 0	2 1	2 2	2 3	2 4	2 5	3 0	3 1	3 2	3 3	3 4	3 5	4 0	4 1	4 2	4 3	4 4	4 5	5 0	5 1	5 2	5 3	5 4	5 5	
0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	0.0	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	-1.0	-1.0	
0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	0.0	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	-1.0	-1.0	
0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.8977897064100626	0.0	0.771962295081967	0.0	0.0	0.0	0.95	0.899479111581174	0.8201639344262294	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	-1.0	-1.0	
0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.9002915158776971	0.8342411239468478	0.771962295081967	0.0	0.0	0.0	0.95	0.899479111581174	0.8201639344262294	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	-1.0	-1.0	
0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.9002915158776971	0.8342411239468478	0.771962295081967	0.0	0.0	0.0	0.95	0.899479111581174	0.8201639344262294	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	-1.0	-1.0	
0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.9002915158776971	0.8342411239468478	0.771962295081967	0.0	0.0	0.0	0.95	0.899479111581174	0.8201639344262294	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	-1.0	-1.0	
0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-0.04	0.0	0.0	0.0	3.0	0.9002915158776971	0.8342411239468478	0.7856702468446677	0.0	0.0	0.0	0.95	0.899479111581174	0.8201639344262294	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	-1.0	-1.0	
0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-0.04	0.0	0.0	0.0	3.0	0.9002915158776971	0.8342411239468478	0.7858913428408403	0.0	0.0	0.0	0.95	0.9004513862657701	0.8201639344262294	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	-1.0	-1.0	
0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-0.04	-0.04	0.0	0.0	3.0	0.9002915158776971	0.8342411239468478	0.7858913428408403	0.0	0.0	0.0	0.95	0.9004513862657701	0.8201639344262294	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	-1.0	-1.0	
0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-0.04	-0.04	0.0	0.0	3.0	0.9002915158776971	0.8500331651365447	0.7858913428408403	0.0	0.0	0.0	0.95	0.9004513862657701	0.8201639344262294	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	-1.0	-1.0	
